path,latency,noise,snr
A->B,0.001768990752562263,3.535533905932738e-07,34.51544993495972
A->D->B,0.0039682413450922846,7.930992178549617e-07,31.006724784181998
A->C->D->B,0.00624035381403802,1.2472073391334222e-06,29.040613422260705
A->D->F->B,0.005996655157787882,1.198501326354405e-06,29.213614810061472
A->C->D->F->B,0.008268767626733618,1.6526094476328655e-06,27.818297687990515
A->C->E->D->B,0.008110582242233186,1.6209942574734923e-06,27.902185236783154
A->C->E->F->B,0.009374290550333272,1.8735610707270568e-06,27.273321460463006
A->D->E->F->B,0.009042472351130244,1.8072433416949169e-06,27.429833666199933
A->C->D->E->F->B,0.011314584820075978,2.261351462973377e-06,26.456319336441766
A->C->E->D->F->B,0.010138996054928783,2.0263963659729355e-06,26.93275602056492
A->C->E->F->D->B,0.01125370503726087,2.249183929818279e-06,26.47975028139772
A->D->C->E->F->B,0.010710225428059604,2.140563204541394e-06,26.694719442004708
A->C,0.0023733501445786383,4.74341649025257e-07,33.23908740944319
A->D->C,0.003709285022304969,7.413437828395945e-07,31.299803502301586
A->B->D->C,0.005635994422021644,1.126419080701439e-06,29.483000015141428
A->D->E->C,0.005579513450500135,1.1151307011796648e-06,29.526742272575458
A->B->D->E->C,0.007506222850216811,1.5002059990415092e-06,28.238491022080623
A->B->F->D->C,0.0076644082347172415,1.5318211892008823e-06,28.147919273115363
A->B->F->E->C,0.008769931158316896,1.7527728122950733e-06,27.562743718472824
A->D->F->E->C,0.00872263624552782,1.743320373524451e-06,27.586227943769032
A->B->D->F->E->C,0.010649345645244494,2.1283956713862956e-06,26.719476329905767
A->B->F->D->E->C,0.009534636662912408,1.9056081075409524e-06,27.199664081215793
A->B->F->E->D->C,0.010710225428059602,2.140563204541394e-06,26.694719442004708
A->D->B->F->E->C,0.010969181750846919,2.1923186395567612e-06,26.590963236620496
A->D,0.001905261348968936,3.807886552931955e-07,34.19315998882512
A->B->D,0.0038319707486856114,7.6586395315504e-07,31.158483708916314
A->C->D,0.004177373817914672,8.34896776571656e-07,30.783672156978156
A->B->F->D,0.005860384561381209,1.1712660616544832e-06,29.31344440552332
A->C->E->D,0.006047602246109837,1.2086836949117263e-06,29.176873364653247
A->B->F->E->D,0.008906201754723569,1.780008076994995e-06,27.495780270245902
A->C->E->F->D,0.009190725041137522,1.836873367256513e-06,27.359207826149156
A->B->F->E->C->D,0.010573954831652929,2.113327939841472e-06,26.750331052133596
A->C->E->F->B->D,0.01143727054645662,2.285871633288823e-06,26.409481617445998
A->C->E,0.004142340897140901,8.278950396185308e-07,30.820247195000423
A->D->E,0.003810522697937872,7.61577310586391e-07,31.18286003218531
A->B->D->E,0.005737232097654548,1.1466526084482354e-06,29.4056813666335
A->B->F->E,0.007000940405754634,1.3992194217017995e-06,28.541141753136984
A->C->D->E,0.006082635166883608,1.2156854318648514e-06,29.15178787628153
A->D->C->E,0.005478275774867232,1.0948971734328683e-06,29.606266653970135
A->D->F->E,0.006953645492965557,1.3897669829311773e-06,28.5705801018508
A->B->D->C->E,0.0074049851745839074,1.4799724712947128e-06,28.297463627644962
A->B->D->F->E,0.008880354892682232,1.7748422807930219e-06,27.508402339467033
A->B->F->D->E,0.007765645910350145,1.5520547169476787e-06,28.09092971963425
A->C->D->F->E,0.009225757961911293,1.8438751042096378e-06,27.34268499437251
A->D->B->F->E,0.009200190998284657,1.8387652489634875e-06,27.354737126256715
A->B->F->D->C->E,0.009433398987279504,1.885374579794156e-06,27.24602352738605
A->C->D->B->F->E,0.011472303467230391,2.292873370241948e-06,26.39619929624072
